m,peri,node,incl,e,n,a,date,x,y,z
119.87937,249.78148,0.63044,7.16975,0.0546257,0.17661984,3.146128,20241110,3.1203070,0.8607306,0.1039485
93.14552,13.79844,32.54808,5.25971,0.1236231,0.21959983,2.7209134,20241110,-2.4799315,1.2371328,0.2188265
60.04599,173.46687,263.17159,3.87371,0.1548287,0.18539636,3.0460375,20240703,-2.5625672,1.2828830,-0.1826144
200.72674,105.62047,312.88884,4.27704,0.1029415,0.17901919,3.1179537,20241003,-0.8500567,-3.3075082,-0.2149265
125.80077,163.26574,121.92853,6.80254,0.1441977,0.21532539,2.756804,20241111,1.3554744,2.6840903,-0.3065591
142.72809,136.55093,341.91247,3.43647,0.0308266,0.23352838,2.6116177,20241003,-0.3123620,-2.6536134,-0.1572979
10.71885,318.68858,24.88852,1.68142,0.0335889,0.21428923,2.7656835,20241109,2.6642755,-0.2306009,-0.0390552
91.12859,179.71786,215.31434,13.12106,0.2508999,0.21110705,2.7934071,20240703,-2.6261295,1.2650864,-0.5944772
197.97559,155.15547,162.57456,10.52219,0.3099884,0.20306785,2.8666539,20240623,-3.1586630,1.9758198,-0.1744536
129.73226,62.33582,170.55876,15.19857,0.116273,0.2263278,2.6667202,20241110,2.8153606,0.5612886,-0.2758797
336.67494,142.75667,200.77038,10.86432,0.2227639,0.27282471,2.3544,20241110,1.1260150,-1.4893820,0.3439079
176.33293,78.60808,257.83466,7.5958,0.2575837,0.27395799,2.3479025,20240701,-2.6330866,1.2793670,-0.3792001
235.83009,192.53817,141.72823,10.88916,0.1014603,0.18849264,3.0125883,20240712,-2.9570711,-1.1171697,0.5210736
156.74765,183.87862,80.11839,2.14823,0.1296684,0.17590952,3.1545917,20241111,1.4471687,3.2276685,-0.0327019
128.9436,65.55591,47.54045,1.92336,0.1204909,0.1812199,3.0926596,20240925,-1.0472181,-3.1829604,-0.0462126
285.02494,282.20309,352.75094,5.84483,0.0448868,0.22907859,2.6453291,20240711,-2.5303473,-0.6704429,-0.1007669
241.43756,103.79357,197.03505,20.85156,0.2619349,0.15752095,3.3955529,20240703,-3.6837268,1.2049051,-0.8498567
273.12874,153.78148,134.94519,15.96729,0.2035771,0.22063145,2.7124252,20240711,-2.7397300,0.1080369,0.5330024
233.02183,271.08578,324.71394,9.0724,0.1991247,0.17561356,3.1581349,20241111,-0.2195511,3.5687959,0.4449171
