m,peri,node,incl,e,n,a,date
125.67367,148.43587,219.76463,9.38949,0.1159319,0.18871316,3.0102409,20240627
9.11477,32.48546,40.19052,2.58289,0.047681,0.20082985,2.8879114,20241111
260.19885,114.88864,252.28536,8.04586,0.2442752,0.21212238,2.7844861,20240914
83.15905,291.53204,97.28181,24.26223,0.2998107,0.26818107,2.3815003,20241111
134.20972,44.18034,327.85243,11.09978,0.3410376,0.22450406,2.6811426,20240703
123.70138,70.93027,344.21005,8.57221,0.1512674,0.17081469,3.2170112,20240711
143.9964,238.79961,32.15942,23.71003,0.1894654,0.27906047,2.3191945,20241109
128.98213,309.70361,354.61735,7.12914,0.062127,0.21274123,2.7790835,20241111
140.94818,107.49315,351.87958,16.13,0.1076605,0.17973463,3.1096741,20240925
268.36667,57.98805,178.44247,15.88231,0.025956,0.25296282,2.4760814,20240627
275.38231,259.20428,137.07585,6.75859,0.2518644,0.25399712,2.4693549,20241018
289.07376,334.20328,21.84364,6.03512,0.0955533,0.18713953,3.0270925,20241019
104.0743,298.51387,31.4999,2.83981,0.0901119,0.21314852,2.7755422,20241111
304.00613,23.29528,353.12269,3.73832,0.159995,0.17792143,3.1307656,20241111
